match_id,date,venue,city,match_type,team1,team2,toss_winner,toss_decision,winner,total_runs,total_wickets,total_balls,total_overs
392617,2009-04-24,Dubai Sports City Cricket Stadium,,ODI,Australia,Pakistan,Pakistan,bat,Australia,415,14,557,92.83
392618,2009-04-27,Sheikh Zayed Stadium,Abu Dhabi,ODI,Australia,Pakistan,Australia,bat,Australia,369,17,594,99.0
392619,2009-05-01,Sheikh Zayed Stadium,Abu Dhabi,ODI,Australia,Pakistan,Pakistan,bat,Australia,397,12,567,94.5
392620,2009-05-03,Sheikh Zayed Stadium,Abu Dhabi,ODI,Australia,Pakistan,Australia,bat,Pakistan,504,7,600,100.0
401073,2009-07-26,"Windsor Park, Roseau",Dominica,ODI,West Indies,Bangladesh,West Indies,field,Bangladesh,440,19,573,95.5
401074,2009-07-28,"Windsor Park, Roseau",Dominica,ODI,West Indies,Bangladesh,West Indies,bat,Bangladesh,550,13,616,102.67
401075,2009-07-31,"Warner Park, Basseterre",St Kitts,ODI,West Indies,Bangladesh,West Indies,bat,Bangladesh,497,17,603,100.5
403370,2009-07-30,Rangiri Dambulla International Stadium,,ODI,Sri Lanka,Pakistan,Pakistan,field,Sri Lanka,428,19,579,96.5
403371,2009-08-01,Rangiri Dambulla International Stadium,,ODI,Sri Lanka,Pakistan,Sri Lanka,field,Sri Lanka,337,14,558,93.0
403372,2009-08-03,Rangiri Dambulla International Stadium,,ODI,Sri Lanka,Pakistan,Sri Lanka,field,Sri Lanka,577,12,593,98.83
403373,2009-08-07,R Premadasa Stadium,Colombo,ODI,Sri Lanka,Pakistan,Pakistan,bat,Pakistan,496,15,533,88.83
403374,2009-08-09,R Premadasa Stadium,Colombo,ODI,Sri Lanka,Pakistan,Pakistan,bat,Pakistan,426,18,520,86.67
403380,2009-09-08,R Premadasa Stadium,Colombo,ODI,Sri Lanka,New Zealand,Sri Lanka,bat,Sri Lanka,335,17,524,87.33
403381,2009-09-12,R Premadasa Stadium,Colombo,ODI,Sri Lanka,India,Sri Lanka,bat,Sri Lanka,475,16,543,90.5
403382,2009-09-11,R Premadasa Stadium,Colombo,ODI,India,New Zealand,New Zealand,bat,India,311,14,524,87.33
403383,2009-09-14,R Premadasa Stadium,Colombo,ODI,Sri Lanka,India,India,bat,India,592,15,602,100.33
406192,2010-02-07,Melbourne Cricket Ground,,ODI,Australia,West Indies,West Indies,field,Australia,399,18,518,86.33
406193,2010-02-09,Adelaide Oval,,ODI,Australia,West Indies,West Indies,bat,Australia,341,12,410,68.33
406194,2010-02-12,Sydney Cricket Ground,,ODI,Australia,West Indies,West Indies,field,,231,10,319,53.17
406195,2010-02-14,"Brisbane Cricket Ground, Woolloongabba",Brisbane,ODI,Australia,West Indies,West Indies,field,Australia,598,15,610,101.67
406196,2010-02-19,Melbourne Cricket Ground,,ODI,Australia,West Indies,Australia,bat,Australia,523,15,531,88.5
406202,2010-01-22,"Brisbane Cricket Ground, Woolloongabba",Brisbane,ODI,Australia,Pakistan,Pakistan,bat,Australia,549,15,601,100.17
406203,2010-01-24,Sydney Cricket Ground,,ODI,Australia,Pakistan,Pakistan,field,Australia,394,16,532,88.67
406204,2010-01-26,Adelaide Oval,,ODI,Australia,Pakistan,Australia,bat,Australia,532,16,597,99.5
406205,2010-01-29,Western Australia Cricket Association Ground,Perth,ODI,Australia,Pakistan,Australia,bat,Australia,419,18,535,89.17
406206,2010-01-31,Western Australia Cricket Association Ground,Perth,ODI,Australia,Pakistan,Pakistan,bat,Australia,425,18,603,100.5
410337,2009-08-09,Queens Sports Club,Bulawayo,ODI,Zimbabwe,Bangladesh,Bangladesh,field,Bangladesh,418,12,507,84.5
410338,2009-08-11,Queens Sports Club,Bulawayo,ODI,Zimbabwe,Bangladesh,Zimbabwe,field,Bangladesh,591,18,590,98.33
410339,2009-08-14,Queens Sports Club,Bulawayo,ODI,Zimbabwe,Bangladesh,Bangladesh,field,Zimbabwe,577,17,576,96.0
410340,2009-08-16,Queens Sports Club,Bulawayo,ODI,Zimbabwe,Bangladesh,Zimbabwe,bat,Bangladesh,625,14,616,102.67
410341,2009-08-18,Queens Sports Club,Bulawayo,ODI,Zimbabwe,Bangladesh,Zimbabwe,bat,Bangladesh,421,15,577,96.17
