match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
t20,AJ Redmond,New Zealand,126,84,6,150.0,Bangladesh
t20,AJ Staal,Netherlands,107,79,7,135.44303797468353,Oman
t20,AJ Strauss,England,73,68,4,107.35294117647058,South Africa
t20,AJ Turner,Australia,110,133,9,82.70676691729322,Sri Lanka
t20,AJ Tye,Australia,83,79,8,105.0632911392405,Sri Lanka
t20,AJA Samuels,Cook Islands,14,30,0,46.666666666666664,Fiji
t20,AK Gokoel,Suriname,22,63,5,34.92063492063492,Brazil
t20,AK Gonerara,Fiji,14,34,3,41.17647058823529,Papua New Guinea
t20,AK Kitchen,New Zealand,38,32,2,118.75,Bangladesh
t20,AK Maguire,Ireland,2,8,1,25.0,Hong Kong
t20,AK Mandal,Nepal,2,9,1,22.22222222222222,United Arab Emirates
t20,AK Markram,South Africa,1344,958,45,140.29227557411275,Bangladesh
t20,AK Mohan,Finland,260,316,17,82.27848101265823,Sweden
t20,AK Muslar,Belize,28,73,4,38.35616438356164,United States of America
t20,AK Perera,Sri Lanka,59,68,5,86.76470588235294,Australia
t20,AK Peters,West Indies,7,16,1,43.75,England
t20,AK Roger,Ivory Coast,7,33,3,21.21212121212121,St Helena
t20,AK Sah,Nepal,214,182,11,117.58241758241759,United Arab Emirates
t20,AK Yadav,Nepal,26,44,4,59.09090909090909,United Arab Emirates
t20,AL Hodgkinson,South Africa,42,66,3,63.63636363636363,Bangladesh
t20,AL Kerai,Sierra Leone,76,134,7,56.71641791044776,Namibia
t20,AL Mangue,Mozambique,4,9,2,44.44444444444444,Lesotho
t20,AL Mundundo,Mozambique,47,182,9,25.82417582417583,Lesotho
t20,AL Phehlukwayo,South Africa,166,159,18,104.40251572327044,Bangladesh
t20,AL Seddon,France,139,154,8,90.25974025974025,Germany
t20,AL Stephen,Vanuatu,14,39,6,35.8974358974359,Papua New Guinea
t20,AL Tiwari,Oman,1,3,0,33.33333333333333,Scotland
t20,AL Watkins,New Zealand,150,119,3,126.05042016806722,Bangladesh
t20,AM Blignaut,Zimbabwe,8,9,1,88.88888888888889,India
t20,AM Ellis,New Zealand,25,21,3,119.04761904761905,Bangladesh
t20,AM Fernando,Sri Lanka,11,6,0,183.33333333333331,Australia
t20,AM Guruge,United Arab Emirates,3,8,1,37.5,Ireland
t20,AM Hardie,Australia,128,105,6,121.90476190476191,Sri Lanka
t20,AM Healey,Germany,103,156,11,66.02564102564102,Italy
t20,AM Kamara,Sierra Leone,341,465,15,73.33333333333333,Namibia
t20,AM Kimote,Tanzania,264,279,20,94.6236559139785,Uganda
t20,AM Kupito,Samoa,1,3,2,33.33333333333333,Vanuatu
t20,AM McCarthy,West Indies,5,8,1,62.5,England
t20,AM Oyede,Nigeria,46,81,6,56.79012345679012,Oman
t20,AM Patel,Panama,35,47,3,74.46808510638297,Bahamas
t20,AM Peterson,New Zealand,84,98,12,85.71428571428571,Bangladesh
t20,AM Phangiso,South Africa,19,29,2,65.51724137931035,Bangladesh
t20,AM Rahane,India,375,347,18,108.06916426512969,England
t20,AM Rajpurohit,Gambia,26,34,3,76.47058823529412,Eswatini
t20,AM Samaroo,West Indies,6,6,1,100.0,England
t20,AM Tribe,Jersey,429,360,16,119.16666666666667,Norway
t20,AM Zepeda,Austria,118,170,6,69.41176470588235,Germany
t20,AMN Andersen,Denmark,4,19,2,21.052631578947366,Norway
t20,AN Aminou,Cameroon,59,61,8,96.72131147540983,Sierra Leone
t20,AN Cook,England,61,55,4,110.9090909090909,South Africa
t20,AN Davidson-Richards,England,46,58,3,79.3103448275862,South Africa
t20,AN Hyobeom,South Korea,9,17,3,52.94117647058824,Japan
t20,AN Kelly,Ireland,129,149,16,86.57718120805369,Hong Kong
t20,AN Kervezee,Netherlands,148,149,8,99.32885906040269,Oman
t20,AN Lascu,Romania,129,111,3,116.21621621621621,Bulgaria
t20,AN Petersen,South Africa,14,19,2,73.68421052631578,Bangladesh
t20,AN Toube,Cameroon,55,98,15,56.12244897959183,Sierra Leone
t20,AO Suji,Kenya,11,26,1,42.30769230769231,Uganda
t20,AP Devcich,New Zealand,111,81,4,137.03703703703704,Bangladesh
t20,AP Rajeevan,Tanzania,848,764,33,110.99476439790577,Uganda
t20,AP Venkata,Singapore,2,12,1,16.666666666666664,Qatar
t20,AP Yadav,Thailand,941,927,35,101.51024811218986,Ireland
t20,APC Kilowan,South Africa,2,2,1,100.0,Bangladesh
t20,AR Adams,New Zealand,13,12,1,108.33333333333333,Bangladesh
t20,AR Balla,Cameroon,32,124,7,25.806451612903224,Sierra Leone
t20,AR Berenger,Qatar,46,24,2,191.66666666666669,United Arab Emirates
