match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
t20,B Lee,12,2,101,71,9,4,6,142.25352112676057
t20,B Leephatthana,1,1,6,11,0,0,0,54.54545454545454
t20,B Lekau,3,1,5,63,0,0,2,7.936507936507936
t20,B Leo,1,1,0,1,0,0,1,0.0
t20,B Lewis,3,1,3,8,0,0,1,37.5
t20,B Madimabe,11,2,36,137,2,0,11,26.277372262773724
t20,B Maes Loch,1,1,2,5,0,0,1,40.0
t20,B Mahesh,4,2,16,10,0,2,3,160.0
t20,B Manuel,11,2,54,96,6,0,9,56.25
t20,B Maphosa,4,1,30,40,0,1,2,75.0
t20,B Masaba,34,2,366,385,37,6,24,95.06493506493506
t20,B Mavuta,7,2,55,43,3,2,3,127.90697674418605
t20,B Maximo,1,1,0,3,0,0,1,0.0
t20,B Mejaro,2,2,2,12,0,0,2,16.666666666666664
t20,B Mpedi,7,2,78,110,10,0,6,70.9090909090909
t20,B Murekatete,18,2,95,132,8,0,12,71.96969696969697
t20,B Muzarabani,20,2,42,61,5,1,11,68.85245901639344
t20,B Namsrai,11,2,15,77,2,0,10,19.480519480519483
t20,B Namuunzul,8,2,14,77,0,0,6,18.181818181818183
t20,B Narangerel,3,1,1,12,0,0,2,8.333333333333332
t20,B Ndipo,1,1,4,6,0,0,1,66.66666666666666
t20,B Niaz,17,2,376,331,23,24,13,113.595166163142
t20,B Nwobodo,2,2,45,81,1,0,1,55.55555555555556
t20,B Pavlinakova,2,2,5,14,0,0,0,35.714285714285715
t20,B Phelenyane,8,2,7,67,0,0,7,10.44776119402985
t20,B Pondani,4,2,2,11,0,0,1,18.181818181818183
t20,B Rawal,30,2,274,450,24,0,21,60.88888888888889
t20,B Regmi,8,2,21,56,2,0,6,37.5
t20,B Shanti,31,2,317,469,31,1,22,67.590618336887
t20,B Shetty,9,2,67,122,4,0,4,54.91803278688525
t20,B Shikongo,3,2,1,6,0,0,2,16.666666666666664
t20,B Shotorova,6,2,12,81,0,0,6,14.814814814814813
t20,B Siddharth,3,2,5,10,1,0,3,50.0
t20,B Stanlake,2,1,9,13,0,1,1,69.23076923076923
t20,B Tau,26,2,489,561,55,0,17,87.16577540106952
t20,B Taylan,4,2,56,82,6,0,4,68.29268292682927
t20,B Terbish,3,2,1,8,0,0,2,12.5
t20,B Vakatini,3,2,5,9,0,0,3,55.55555555555556
t20,B Verdon,1,1,0,3,0,0,1,0.0
t20,B Waluma,12,2,46,80,4,0,11,57.49999999999999
t20,B Wani,5,2,8,43,1,0,5,18.6046511627907
t20,B Ward,28,2,526,415,31,28,21,126.74698795180723
t20,B Wentzel,1,1,1,2,0,0,1,50.0
t20,B White,7,2,21,42,1,0,1,50.0
t20,B Williams,1,1,1,3,0,0,0,33.33333333333333
t20,B Yadav,11,2,91,85,2,8,9,107.05882352941177
t20,B Zuiderent,4,1,83,100,6,1,3,83.0
t20,B de Leede,58,2,1003,1151,106,7,48,87.14161598609904
t20,BA Carse,6,2,37,29,1,3,5,127.58620689655173
t20,BA King,57,2,1475,1122,162,62,53,131.46167557932264
t20,BA Pai,34,2,911,890,81,15,29,102.35955056179775
t20,BA Parchment,1,1,10,6,1,1,1,166.66666666666669
t20,BA Simango,2,1,0,6,0,0,2,0.0
t20,BA Stokes,34,2,576,457,41,22,27,126.03938730853392
t20,BA Viraliliu,1,1,39,31,3,0,1,125.80645161290323
t20,BAA Zammitt,3,2,10,27,0,0,3,37.03703703703704
t20,BAD Manenti,5,2,52,43,7,2,5,120.93023255813952
t20,BAM Heath,3,2,6,13,0,0,3,46.15384615384615
t20,BAW Mendis,6,2,8,18,1,0,3,44.44444444444444
t20,BB Chari,3,2,21,31,4,0,3,67.74193548387096
t20,BB McCullum,70,3,2145,1629,199,91,58,131.67587476979742
t20,BBJL Perera,12,2,272,251,27,8,11,108.36653386454182
t20,BC Fortuin,14,2,76,79,11,0,9,96.20253164556962
t20,BC Sahin,2,2,6,22,1,0,1,27.27272727272727
t20,BCJ Cutting,4,2,40,28,2,3,4,142.85714285714286
t20,BD Glover,6,2,6,13,1,0,3,46.15384615384615
t20,BD Pare,1,1,3,6,0,0,1,50.0
t20,BDH Stevens,12,2,199,209,19,3,11,95.21531100478468
t20,BE Hendricks,5,2,18,24,0,1,3,75.0
t20,BF Smith,8,2,143,122,23,0,7,117.21311475409837
t20,BFW de Leede,37,2,722,723,52,18,28,99.86168741355463
t20,BG Armstrong,1,1,11,10,1,0,1,110.00000000000001
t20,BG Illing,1,1,1,3,0,0,0,33.33333333333333
t20,BG Lister,3,2,1,6,0,0,2,16.666666666666664
t20,BI Dilruksha,5,2,63,96,3,0,5,65.625
t20,BJ Bennett,30,2,677,485,72,27,28,139.58762886597938
t20,BJ Currie,4,2,15,25,0,0,1,60.0
t20,BJ Davidson,3,2,9,23,1,0,3,39.130434782608695
t20,BJ Dwarshuis,3,1,1,5,0,0,2,20.0
t20,BJ Haddin,29,3,404,361,30,13,24,111.91135734072022
t20,BJ Hodge,11,2,183,146,10,7,10,125.34246575342465
t20,BJ McCarthy,29,2,276,232,19,15,17,118.96551724137932
t20,BJ McMullen,15,2,497,344,39,26,13,144.4767441860465
t20,BJ Rohrer,1,1,16,14,0,1,1,114.28571428571428
t20,BJ Watling,4,2,38,60,3,0,4,63.33333333333333
t20,BK Stroud,3,2,21,57,1,0,1,36.84210526315789
t20,BKB Corbin,7,2,95,70,12,6,6,135.71428571428572
t20,BKG Mendis,72,3,1810,1427,154,77,66,126.83952347582341
t20,BL Mooney,104,2,3337,2726,438,17,82,122.41379310344827
t20,BL Morgan,2,1,66,58,5,0,1,113.79310344827587
t20,BLCS Kumara,2,2,3,8,0,0,2,37.5
t20,BM Duckett,17,2,412,281,55,5,16,146.61921708185054
t20,BM Halliday,37,2,442,463,36,2,30,95.46436285097192
t20,BM Pecic,4,1,51,64,2,1,4,79.6875
t20,BM Scholtz,18,2,67,73,6,0,5,91.78082191780823
t20,BM Tickner,4,2,11,23,0,0,2,47.82608695652174
t20,BM Wheeler,3,2,37,30,3,2,2,123.33333333333334
t20,BMA Mbida,10,2,67,130,6,1,11,51.53846153846153
