match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
odi,PWDM Badalge,Sri Lanka,11,20,2,55.00000000000001,Australia
odi,PWH de Silva,Sri Lanka,866,850,41,101.88235294117646,Australia
odi,PY Lavine,West Indies,8,26,1,30.76923076923077,England
odi,Pankaj Singh,India,3,3,0,100.0,Pakistan
odi,Panna Ghosh,Bangladesh,85,207,5,41.06280193236715,New Zealand
odi,Pargat Singh,Canada,895,1179,25,75.91178965224766,United States of America
odi,Parveen Kumar,Canada,41,48,3,85.41666666666666,United States of America
odi,Pooja Ganesh,United States of America,49,93,3,52.68817204301075,Papua New Guinea
odi,Poonam Yadav,India,53,140,11,37.857142857142854,Pakistan
odi,Pratika Rawal,India,638,751,11,84.95339547270306,Pakistan
odi,Pratis GC,Nepal,11,6,0,183.33333333333331,Oman
odi,Priya Mishra,India,6,31,2,19.35483870967742,Pakistan
odi,Q Joseph,West Indies,302,403,15,74.93796526054591,England
odi,Q de Kock,South Africa,6661,7024,144,94.83200455580865,Sri Lanka
odi,Qadeer Ahmed,United Arab Emirates,2,12,0,16.666666666666664,Papua New Guinea
odi,Qaiser Ali,Canada,38,98,6,38.775510204081634,United States of America
odi,Qanita Jalil,Pakistan,32,64,8,50.0,South Africa
odi,R Ashwin,India,707,831,40,85.07821901323706,Pakistan
odi,R Boyce,West Indies,30,100,5,30.0,England
odi,R Chopra,United Arab Emirates,403,537,16,75.04655493482309,Papua New Guinea
odi,R Clarke,England,91,172,9,52.90697674418605,Bangladesh
odi,R Dhakal,Nepal,4,4,1,100.0,Oman
odi,R Dhar,India,53,53,2,100.0,Pakistan
odi,R Dhawan,India,12,13,1,92.3076923076923,Pakistan
odi,R Dravid,ICC World XI,42,73,4,57.534246575342465,
odi,R Dravid,India,3608,5060,93,71.30434782608695,Pakistan
odi,R Gunasekera,Canada,255,463,13,55.0755939524838,United States of America
odi,R Hekure,Papua New Guinea,328,436,19,75.22935779816514,Ireland
odi,R Kanoh,Thailand,100,149,7,67.11409395973155,Netherlands
odi,R Klein,Netherlands,38,81,7,46.913580246913575,Zimbabwe
odi,R MacDonald-Gay,England,17,14,1,121.42857142857142,Bangladesh
odi,R Malhotra,India,118,185,3,63.78378378378379,Pakistan
